INSEE,Latitude,Longitude
02527,49.45,3.18333
02528,49.3317,3.07611
02529,49.6833,3.66667
02530,49.4167,3.68333
02531,49.4167,3.63333
02532,49.75,3.36667
02533,49.2833,3.41667
02534,49.3667,3.75
02535,49.7833,4
02536,49.3,3.41667
02537,49.4333,3.45
02538,49.2,3.4
02539,49.95,3.25
02540,49.0167,3.41667
02541,49.4333,4.03333
02542,49.6,3.16667
02543,49.1667,3.26667
02544,49.9333,4.03333
02545,49.7167,3.85
02546,49.6833,3.15
02547,49.7833,3.71667
02548,49.9667,3.68333
02549,49.8167,3.33333
02550,49.4667,3.7
02551,49.45,3.4
02552,49.85,3.46667
02553,49.5667,4.05
02554,49.0167,3.4
02555,48.9667,3.31667
02556,49.6667,4.1
02557,49.2,3.21667
02558,50.0167,3.78333
02559,49.7,3.48333
02560,49.6833,3.46667
02561,49.5,3.61667
02562,49.4333,3.2
02563,49.9,3.55
02564,49.3333,3.33333
02565,49.3833,3.68333
02566,49.6109,3.19417
02567,49.9333,4.01667
02568,49.2167,3.13333
02569,50.0167,3.66667
02570,49.7167,3.13333
02571,49.8833,3.31667
02572,49.3833,4.01667
02573,49.5167,3.7
02574,49.9,4.01667
02575,49.8333,3.5
02576,49.4,3.21667
02577,49.4333,3.56667
02578,49.4333,3.75
02579,49.2167,3.35
02580,49.2,3.35
02581,49.3333,3.6
02582,49.4167,3.7
02583,49.4667,3.65
02584,50.0167,3.88333
02585,49.2787,3.335
02586,49.7333,4.16667
02587,49.5333,3.71667
02588,49.4,3.7
02589,49.4667,3.53333
02590,48.95,3.55
02591,49.7167,3.61667
02592,49.7667,3.55
02593,49.4,3.3
02594,49.1667,3.2
02595,49.0667,3.56667
02596,48.95,3.28333
02597,49.3167,3.65
02598,49.3833,3.23333
02599,49.5667,3.25
02600,49.65,3.78333
02601,49.4167,4.03333
02602,49.4833,3.45
02604,49.75,3.1
02605,49.7833,3.51667
02606,49.2333,3.35
02607,49.3333,3.3
02608,49.8,4.01667
02609,49.4884,3.74445
02610,49.4,3.26667
02612,49.3833,3.61667
02613,49.4167,3.81667
02614,49.9,3.21667
02615,49.9,3.23333
02616,49.5,3.28333
02617,49.6833,3.58333
02618,50,3.38333
02619,49.55,3.4
02620,49.4,3.55
02621,49.5167,3.61667
02622,49.1333,3.26667
02623,49.7833,3.86667
02624,49.9,3.73333
02625,49.9,3.56667
02626,49.4667,3.98333
02627,49.4667,4
02628,49.3,3.13333
02629,49.85,3.66667
02631,49.5667,3.13333
02632,49.5167,3.38333
02633,49.3,3.55
02634,49.7083,4.15
02635,49.95,3.33333
02636,49.8167,3.41667
02637,49.9,3.33333
02638,49.6833,3.53333
02639,49.7167,3.28333
02640,49.7167,3.45
02641,49.7333,4.05
02642,49.7333,4.2
02643,49.3833,3.15
02644,49.3167,3.01667
02645,49.0667,3.55
02646,49.3667,3.7
02647,50.05,3.58333
02648,49.8,3.46667
02649,49.15,3.38333
02650,50.0333,3.98333
02651,49.6333,3.41667
02652,49.7667,3.81667
02653,48.9833,3.33333
02654,49.9,3.73333
02655,49.15,3.6
02656,49.3667,3.81667
02657,49.8,3.8
02658,49.8167,3.18333
02659,49.85,3.31667
02660,49.7167,4.16667
02661,49.5167,3.53333
02662,49.2,3.3
02663,49.3333,3.35
02664,48.9167,3.45
02665,49.2333,3.38333
02666,49.7167,4.13333
02667,49.3667,3.25
02668,49.8167,3.7
02669,49.0167,3.6
02670,49.8833,3.81667
02671,49.5167,3.18333
02672,49.3667,3.16667
02673,49.4167,3.13333
02674,49.7667,4.06667
02675,49.4833,3.78333
02676,49.5167,3.85
02677,49.0167,3.53333
02678,49.7195,4.07139
02679,49.1167,3.21667
02680,49.6,3.38333
02681,49.8,3.81667
02682,49.387,3.58334
02683,50.05,3.53333
02684,49.9167,4.13333
02685,49.6,3.41667
02686,49.5333,3.2
02687,49.3167,3.18333
02688,49.8195,3.82361
02689,49.7167,3.88333
